FECHA	USXCS
05/06/2023	36.4162
06/06/2023	36.4172
07/06/2023	36.4182
08/06/2023	36.4192
09/06/2023	36.4202
10/06/2023	36.4212
11/06/2023	36.4222
12/06/2023	36.4232
13/06/2023	36.4242
14/06/2023	36.4252
15/06/2023	36.4262
16/06/2023	36.4272
17/06/2023	36.4282
18/06/2023	36.4291
19/06/2023	36.4301
20/06/2023	36.4311
21/06/2023	36.4321
22/06/2023	36.4331
23/06/2023	36.4341
24/06/2023	36.4351
25/06/2023	36.4361
26/06/2023	36.4371
27/06/2023	36.4381
28/06/2023	36.4391
29/06/2023	36.4401
30/06/2023	36.4411
01/07/2023	36.4421
02/07/2023	36.4431
03/07/2023	36.444
04/07/2023	36.445
05/07/2023	36.446
06/07/2023	36.447
07/07/2023	36.448
08/07/2023	36.449
09/07/2023	36.45
10/07/2023	36.451
11/07/2023	36.452
12/07/2023	36.453
13/07/2023	36.454
14/07/2023	36.455
15/07/2023	36.456
16/07/2023	36.457
17/07/2023	36.458
18/07/2023	36.459
19/07/2023	36.4599
20/07/2023	36.4609
21/07/2023	36.4619
22/07/2023	36.4629
23/07/2023	36.4639
24/07/2023	36.4649
25/07/2023	36.4659
26/07/2023	36.4669
27/07/2023	36.4679
28/07/2023	36.4689
29/07/2023	36.4699
30/07/2023	36.4709
31/07/2023	36.4719
01/08/2023	36.4729
02/08/2023	36.4739
03/08/2023	36.4749
04/08/2023	36.4759
05/08/2023	36.4768
06/08/2023	36.4778
07/08/2023	36.4788
08/08/2023	36.4798
09/08/2023	36.4808
10/08/2023	36.4818
11/08/2023	36.4828
12/08/2023	36.4838
13/08/2023	36.4848
14/08/2023	36.4858
15/08/2023	36.4868
16/08/2023	36.4878
17/08/2023	36.4888
18/08/2023	36.4898
19/08/2023	36.4908
20/08/2023	36.4918
21/08/2023	36.4928
22/08/2023	36.4938
23/08/2023	36.4948
24/08/2023	36.4957
25/08/2023	36.4967
26/08/2023	36.4977
27/08/2023	36.4987
28/08/2023	36.4997
29/08/2023	36.5007
30/08/2023	36.5017
31/08/2023	36.5027
01/09/2023	36.5037
02/09/2023	36.5047
03/09/2023	36.5057
04/09/2023	36.5067
05/09/2023	36.5077
06/09/2023	36.5087
07/09/2023	36.5097
08/09/2023	36.5107
09/09/2023	36.5117
10/09/2023	36.5127
11/09/2023	36.5137
12/09/2023	36.5147
13/09/2023	36.5156
14/09/2023	36.5166
15/09/2023	36.5176
16/09/2023	36.5186
17/09/2023	36.5196
18/09/2023	36.5206
19/09/2023	36.5216
20/09/2023	36.5226
21/09/2023	36.5236
22/09/2023	36.5246
23/09/2023	36.5256
24/09/2023	36.5266
25/09/2023	36.5276
26/09/2023	36.5286
27/09/2023	36.5296
28/09/2023	36.5306
29/09/2023	36.5316
30/09/2023	36.5326
01/10/2023	36.5336
02/10/2023	36.5346
03/10/2023	36.5356
04/10/2023	36.5366
05/10/2023	36.5376
06/10/2023	36.5386
07/10/2023	36.5395
08/10/2023	36.5405
09/10/2023	36.5415
10/10/2023	36.5425
11/10/2023	36.5435
12/10/2023	36.5445
13/10/2023	36.5455
14/10/2023	36.5465
15/10/2023	36.5475
16/10/2023	36.5485
17/10/2023	36.5495
18/10/2023	36.5505
19/10/2023	36.5515
20/10/2023	36.5525
21/10/2023	36.5535
22/10/2023	36.5545
23/10/2023	36.5555
24/10/2023	36.5565
25/10/2023	36.5575
26/10/2023	36.5585
27/10/2023	36.5595
28/10/2023	36.5605
29/10/2023	36.5615
30/10/2023	36.5625
31/10/2023	36.5635
01/11/2023	36.5645
02/11/2023	36.5655
03/11/2023	36.5665
04/11/2023	36.5675
05/11/2023	36.5684
06/11/2023	36.5694
07/11/2023	36.5704
08/11/2023	36.5714
09/11/2023	36.5724
10/11/2023	36.5734
11/11/2023	36.5744
12/11/2023	36.5754
13/11/2023	36.5764
14/11/2023	36.5774
15/11/2023	36.5784
16/11/2023	36.5794
17/11/2023	36.5804
18/11/2023	36.5814
19/11/2023	36.5824
20/11/2023	36.5834
21/11/2023	36.5844
22/11/2023	36.5854
23/11/2023	36.5864
24/11/2023	36.5874
25/11/2023	36.5884
26/11/2023	36.5894
27/11/2023	36.5904
28/11/2023	36.5914
29/11/2023	36.5924
30/11/2023	36.5934
01/12/2023	36.5944
02/12/2023	36.5954
03/12/2023	36.5964
04/12/2023	36.5974
05/12/2023	36.5984
06/12/2023	36.5994
07/12/2023	36.6004
08/12/2023	36.6014
09/12/2023	36.6024
10/12/2023	36.6034
11/12/2023	36.6044
12/12/2023	36.6054
13/12/2023	36.6063
14/12/2023	36.6073
15/12/2023	36.6083
16/12/2023	36.6093
17/12/2023	36.6103
18/12/2023	36.6113
19/12/2023	36.6123
20/12/2023	36.6133
21/12/2023	36.6143
22/12/2023	36.6153
23/12/2023	36.6163
24/12/2023	36.6173
25/12/2023	36.6183
26/12/2023	36.6193
27/12/2023	36.6203
28/12/2023	36.6213
29/12/2023	36.6223
30/12/2023	36.6233
31/12/2023	36.6243
	
